Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_8810,8,0,0,0,0,0,14,160,174,0.943,8810,8810,16.631,31.949,0,0.077,0.130,0.019,0.080,0.044,9.780,12.622,7.686,9.538,1.331
Track_8813,9,0,0,0,0,0,16,158,174,0.923,8813,8813,18.968,14.542,0,0.060,0.103,0.023,0.051,0.029,9.764,13.499,6.900,9.233,2.247
Track_8816,5,0,0,0,0,0,8,154,162,0.703,8816,8816,48.442,49.416,0,0.091,0.178,0.038,0.099,0.063,6.432,7.833,5.238,6.269,1.108
Track_8817,6,0,0,0,0,0,10,160,170,0.401,8817,8817,41.758,14.554,0,0.055,0.097,0.012,0.052,0.032,9.308,12.494,5.473,10.858,2.560
Track_8818,10,0,0,0,0,0,18,160,178,0.748,8818,8818,51.406,47.788,0,0.064,0.135,0.024,0.050,0.040,12.338,16.608,7.921,13.671,2.765
Track_8820,6,0,0,0,0,0,10,160,170,0.529,8820,8820,6.437,12.567,0,0.071,0.105,0.027,0.069,0.033,9.523,10.362,7.799,9.940,0.880
Track_8821,5,0,0,0,0,0,8,154,162,0.988,8821,8821,44.130,30.277,0,0.132,0.177,0.081,0.155,0.043,6.671,8.921,4.638,6.895,1.774
Track_8823,6,0,0,0,0,0,10,160,170,0.694,8823,8823,38.182,47.602,0,0.071,0.199,0.013,0.044,0.074,7.740,9.377,6.014,7.972,1.160
Track_8824,4,0,0,0,0,0,6,156,162,0.471,8824,8824,11.999,13.067,0,0.080,0.167,0.027,0.045,0.076,8.628,10.431,6.825,9.339,1.370
Track_8825,5,0,0,0,0,0,8,158,166,0.821,8825,8825,45.974,47.952,0,0.125,0.242,0.045,0.123,0.085,8.010,9.540,6.092,8.539,1.262
